Month,"Natural Gas Price, Wellhead","Natural Gas Price, Citygate","Natural Gas Price, Delivered to Consumers, Residential",Percentage of Residential Sector Consumption for Which Price Data Are Available,"Natural Gas Price, Delivered to Consumers, Commercial",Percentage of Commercial Sector Consumption for Which Price Data Are Available,"Natural Gas Price, Delivered to Consumers, Industrial",Percentage of Industrial Sector Consumption for Which Price Data Are Available,Natural Gas Transportation Sector Price,"Natural Gas Price, Electric Power Sector",Percentage of Electric Power Sector Consumption for Which Price Data Are Available
,(Dollars per Thousand Cubic Feet),(Dollars per Thousand Cubic Feet),(Dollars per Thousand Cubic Feet),(Percent),(Dollars per Thousand Cubic Feet),(Percent),(Dollars per Thousand Cubic Feet),(Percent),(Dollars per Thousand Cubic Feet),(Dollars per Thousand Cubic Feet),(Percent)
1989 October,1.58,2.84,6.06,Not Available,4.61,85.2,2.74,37.3,Not Available,2.39,Not Available
1989 November,1.66,2.98,5.56,Not Available,4.71,87.7,2.96,35,Not Available,2.56,Not Available
1989 December,1.92,3.1,5.3,Not Available,4.81,90.7,3.31,39.6,Not Available,2.85,Not Available
1990 January,2.23,3.24,5.43,Not Available,4.97,90.8,3.53,43.2,Not Available,3,Not Available
1990 February,1.85,3.1,5.65,Not Available,5.05,88.8,3.41,38.9,Not Available,2.76,Not Available
1990 March,1.55,2.94,5.6,Not Available,4.92,88.3,3.08,36.8,Not Available,2.37,Not Available
1990 April,1.49,2.83,5.64,Not Available,4.82,86.9,2.85,33.8,Not Available,2.28,Not Available
1990 May,1.47,2.81,6,Not Available,4.63,85.5,2.68,32.2,Not Available,2.18,Not Available
1990 June,1.48,3,6.56,Not Available,4.56,83.8,2.58,31.3,Not Available,2.16,Not Available
1990 July,1.49,3.03,7.04,Not Available,4.45,81.8,2.5,33,Not Available,2.21,Not Available
1990 August,1.51,2.91,7.08,Not Available,4.55,81.7,2.52,33.4,Not Available,2.23,Not Available
1990 September,1.56,2.92,6.9,Not Available,4.55,80.3,2.6,32.6,Not Available,2.21,Not Available
1990 October,1.76,2.81,6.14,Not Available,4.66,81.2,2.69,32.8,Not Available,2.45,Not Available
1990 November,1.94,3.14,5.69,Not Available,4.81,84.7,3.02,35.7,Not Available,2.79,Not Available
1990 December,2.04,3.19,5.62,Not Available,4.92,87.9,3.25,37.8,Not Available,2.89,Not Available
1991 January,1.96,3.08,5.54,Not Available,4.94,89.4,3.25,36.8,Not Available,2.7,Not Available
1991 February,1.62,2.94,5.56,Not Available,4.94,88.5,2.97,36.4,Not Available,2.35,Not Available
1991 March,1.49,2.78,5.6,Not Available,4.89,87.8,2.75,36.3,Not Available,2.21,Not Available
1991 April,1.5,2.74,5.9,Not Available,4.87,84,2.68,33.3,Not Available,2.1,Not Available
1991 May,1.48,2.76,6.28,Not Available,4.65,83.2,2.4,32.4,Not Available,2.01,Not Available
1991 June,1.43,2.86,6.97,Not Available,4.8,80,2.34,31.3,Not Available,1.94,Not Available
1991 July,1.34,2.74,7.23,Not Available,4.5,79.3,2.23,29.2,Not Available,1.88,Not Available
1991 August,1.43,2.78,7.36,Not Available,4.73,81.6,2.29,31.9,Not Available,1.96,Not Available
1991 September,1.59,2.91,6.92,Not Available,4.57,78.1,2.4,29.4,Not Available,2.19,Not Available
1991 October,1.82,2.92,6.2,Not Available,4.58,78.7,2.69,29.2,Not Available,2.35,Not Available
1991 November,1.89,2.92,5.51,Not Available,4.71,85.1,2.84,32.8,Not Available,2.43,Not Available
1991 December,2,3.05,5.51,Not Available,4.84,86.1,3.09,32.3,Not Available,2.64,Not Available
1992 January,1.74,2.9,5.53,Not Available,4.85,87.1,3.04,31.8,Not Available,2.49,Not Available
1992 February,1.26,2.7,5.54,Not Available,5.03,85.2,2.78,31.4,Not Available,2.03,Not Available
1992 March,1.35,2.61,5.5,Not Available,4.77,84.7,2.58,29.9,Not Available,1.99,Not Available
1992 April,1.42,2.74,5.62,Not Available,4.77,84,2.54,31.3,Not Available,2.07,Not Available
1992 May,1.51,2.9,6.15,Not Available,4.59,79.3,2.44,29.8,Not Available,2.11,Not Available
1992 June,1.62,3,6.84,Not Available,4.72,79.4,2.53,28,Not Available,2.18,Not Available
1992 July,1.55,3.01,7.27,Not Available,4.64,76,2.54,27.4,Not Available,2.13,Not Available
1992 August,1.84,3.18,7.45,Not Available,4.73,76.1,2.71,28.6,Not Available,2.42,Not Available
1992 September,1.92,3.23,7.15,Not Available,4.69,78,2.82,29.3,Not Available,2.51,Not Available
1992 October,2.38,3.5,6.52,Not Available,4.9,80.9,3.21,31.4,Not Available,3.04,Not Available
1992 November,2.13,3.33,6.02,Not Available,5.12,83.1,3.26,30.8,Not Available,2.87,Not Available
1992 December,2.07,3.17,5.74,Not Available,5.11,85.6,3.38,32.5,Not Available,2.81,Not Available
1993 January,2.03,3.11,5.73,Not Available,5.23,86.6,3.15,32.6,Not Available,2.7,Not Available
1993 February,1.93,2.94,5.73,Not Available,5.14,86.3,3.02,32.9,Not Available,2.54,Not Available
1993 March,2,3.06,5.67,Not Available,5.1,86.4,2.98,32,Not Available,2.61,Not Available
1993 April,2.06,3.24,6.02,Not Available,5.19,84.9,3.04,30.7,Not Available,2.75,Not Available
1993 May,2.18,3.58,6.78,Not Available,5.31,82.2,3.14,29.6,Not Available,2.9,Not Available
1993 June,1.98,3.44,7.37,Not Available,5.4,79,2.86,27.4,Not Available,2.48,Not Available
1993 July,1.99,3.34,7.86,Not Available,5.15,79.2,2.62,28.3,Not Available,2.45,Not Available
1993 August,2.04,3.35,8.13,Not Available,5.34,78,2.76,27.6,Not Available,2.6,Not Available
1993 September,2.09,3.54,7.75,Not Available,5.35,78.3,2.95,27,Not Available,2.69,Not Available
1993 October,2.02,3.15,6.79,Not Available,5.18,79.9,2.77,28.1,Not Available,2.45,Not Available
1993 November,2.03,3.15,6.17,Not Available,5.21,83,3.02,29.8,Not Available,2.59,Not Available
1993 December,2.15,3.27,6.07,Not Available,5.33,85.1,3.28,29.5,Not Available,2.76,Not Available
1994 January,1.93,3.04,5.93,Not Available,5.5,83.7,3.47,27.9,Not Available,2.67,Not Available
1994 February,1.88,3.26,6.04,Not Available,5.58,83.9,3.43,30,Not Available,2.8,Not Available
1994 March,1.93,3.33,6.3,Not Available,5.67,82.8,3.47,28.6,Not Available,2.67,Not Available
1994 April,1.91,3.15,6.6,Not Available,5.6,78.6,3.01,26.7,Not Available,2.44,Not Available
1994 May,2,3.17,6.84,Not Available,5.47,74.5,2.92,25.6,Not Available,2.46,Not Available
1994 June,1.8,3.17,7.66,Not Available,5.37,70.5,2.69,23.3,Not Available,2.25,Not Available
1994 July,1.81,3.12,8.1,Not Available,5.25,68.7,2.77,23.9,Not Available,2.27,Not Available
1994 August,1.83,3.15,8.22,Not Available,5.31,72.6,2.67,23.5,Not Available,2.16,Not Available
1994 September,1.78,2.92,7.84,Not Available,5.36,72.2,2.55,22,Not Available,2,Not Available
1994 October,1.7,2.8,6.86,Not Available,5.11,74.3,2.49,23.7,Not Available,1.95,Not Available
1994 November,1.75,2.84,6.27,Not Available,5.19,77.8,2.86,24.1,Not Available,2.1,Not Available
